min, max, avg
0, 2161, 814.745
0, 1793, 658.505
0, 1721, 280.1
0, 2629, 1157.12
0, 2289, 899.275
0, 2314, 916.87
0, 2365, 892.735
0, 2311, 963.36
0, 2413, 816.435
0, 2303, 942.09
0, 2293, 868.59
0, 2322, 843.11
0, 2267, 900.075
0, 2329, 871.625
0, 2306, 921.655
0, 2343, 869.13
0, 2262, 917.47
0, 2384, 868.58
0, 2302, 856.275
0, 2095, 521.09
0, 1893, 633.505
0, 2101, 746.785
0, 2078, 797.985
0, 2089, 779.99
0, 2135, 786.97
0, 2099, 768.8
0, 2096, 813.485
0, 2197, 779.975
0, 2135, 797.265
0, 2086, 803.28
0, 2134, 820.81
0, 2117, 763.195
0, 2143, 811.52
0, 2080, 741.275
0, 2114, 793.26
0, 2180, 756.855
0, 2178, 762.72
0, 2135, 778.33
0, 2113, 791.935
0, 2131, 767.395
0, 2193, 756.145
0, 2099, 834.06
0, 2159, 806.745
0, 2112, 791.705
0, 2170, 786.695
0, 2107, 826.16
0, 2135, 786.06
0, 2113, 836.72
0, 2111, 807.2
0, 2111, 831.165
0, 2141, 779.035
0, 2138, 840.825
0, 2149, 763.365
0, 2149, 739.29
0, 2128, 847.43
0, 2195, 813.615
0, 2156, 813.735
0, 2112, 835.29
0, 2160, 771.66
0, 2134, 807.71
0, 2165, 807.61
0, 2202, 821.1
0, 2201, 816.565
0, 2135, 834.17
0, 2129, 766.165
0, 2108, 848.635
0, 2093, 846.575
0, 2083, 764.68
0, 2111, 807.7
0, 2089, 769.095
0, 2076, 784.825
0, 2121, 803.135
0, 2186, 797.125
0, 2098, 770.205
0, 2074, 817.685
0, 2112, 727.555
0, 2108, 822.955
0, 2152, 826.055
0, 2090, 756.155
0, 2109, 799.935
0, 2129, 722.15
0, 2112, 835.425
0, 2090, 811.695
0, 2112, 819.06
0, 2128, 807.345
0, 2081, 782.655
0, 2112, 816.04
0, 2158, 740.425
0, 2126, 764.695
0, 2111, 794.51
0, 2114, 803.375
0, 2100, 818.2
0, 2106, 825.875
0, 2073, 750.155
0, 2094, 825.59
0, 2137, 774.82
0, 2097, 847.43
0, 2131, 787.98
0, 2083, 791.79
0, 2111, 831.16
0, 2128, 787.165
0, 2192, 783.865
0, 2112, 802.925
0, 2133, 773.285
0, 2226, 791.9
0, 2157, 782.825
0, 2203, 804.595
0, 2176, 857.585
0, 2215, 765.18
0, 2156, 814.15
0, 2187, 839.4
0, 2188, 868.645
0, 2229, 818.44
